County,Code
"Carlton County, MN","Duluth, MN-WI"
"St. Louis County, MN","Duluth, MN-WI"
"Clay County, MN","Fargo, ND-MN"
"Polk County, MN","Grand Forks, ND-MN"
"Houston County, MN","La Crosse-Onalaska, WI-MN"
"Blue Earth County, MN","Mankato-North Mankato, MN"
"Nicollet County, MN","Mankato-North Mankato, MN"
"Anoka County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Carver County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Chisago County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Dakota County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Hennepin County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Isanti County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Le Sueur County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Mille Lacs County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Ramsey County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Scott County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Sherburne County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Sibley County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Washington County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Wright County, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Dodge County, MN","Rochester, MN"
"Fillmore County, MN","Rochester, MN"
"Olmsted County, MN","Rochester, MN"
"Wabasha County, MN","Rochester, MN"
"Benton County, MN","St. Cloud, MN"
"Stearns County, MN","St. Cloud, MN"
"Becker County, MN",Northwest Minnesota nonmetropolitan area
"Beltrami County, MN",Northwest Minnesota nonmetropolitan area
"Cass County, MN",Northwest Minnesota nonmetropolitan area
"Clearwater County, MN",Northwest Minnesota nonmetropolitan area
"Crow Wing County, MN",Northwest Minnesota nonmetropolitan area
"Douglas County, MN",Northwest Minnesota nonmetropolitan area
"Grant County, MN",Northwest Minnesota nonmetropolitan area
"Hubbard County, MN",Northwest Minnesota nonmetropolitan area
"Kittson County, MN",Northwest Minnesota nonmetropolitan area
"Lake of the Woods County, MN",Northwest Minnesota nonmetropolitan area
"Mahnomen County, MN",Northwest Minnesota nonmetropolitan area
"Marshall County, MN",Northwest Minnesota nonmetropolitan area
"Morrison County, MN",Northwest Minnesota nonmetropolitan area
"Norman County, MN",Northwest Minnesota nonmetropolitan area
"Otter Tail County, MN",Northwest Minnesota nonmetropolitan area
"Pennington County, MN",Northwest Minnesota nonmetropolitan area
"Pope County, MN",Northwest Minnesota nonmetropolitan area
"Red Lake County, MN",Northwest Minnesota nonmetropolitan area
"Roseau County, MN",Northwest Minnesota nonmetropolitan area
"Stevens County, MN",Northwest Minnesota nonmetropolitan area
"Todd County, MN",Northwest Minnesota nonmetropolitan area
"Traverse County, MN",Northwest Minnesota nonmetropolitan area
"Wadena County, MN",Northwest Minnesota nonmetropolitan area
"Wilkin County, MN",Northwest Minnesota nonmetropolitan area
"Aitkin County, MN",Northeast Minnesota nonmetropolitan area
"Cook County, MN",Northeast Minnesota nonmetropolitan area
"Itasca County, MN",Northeast Minnesota nonmetropolitan area
"Kanabec County, MN",Northeast Minnesota nonmetropolitan area
"Koochiching County, MN",Northeast Minnesota nonmetropolitan area
"Lake County, MN",Northeast Minnesota nonmetropolitan area
"Pine County, MN",Northeast Minnesota nonmetropolitan area
"Big Stone County, MN",Southwest Minnesota nonmetropolitan area
"Chippewa County, MN",Southwest Minnesota nonmetropolitan area
"Cottonwood County, MN",Southwest Minnesota nonmetropolitan area
"Jackson County, MN",Southwest Minnesota nonmetropolitan area
"Kandiyohi County, MN",Southwest Minnesota nonmetropolitan area
"Lac Qui Parle County, MN",Southwest Minnesota nonmetropolitan area
"Lincoln County, MN",Southwest Minnesota nonmetropolitan area
"Lyon County, MN",Southwest Minnesota nonmetropolitan area
"McLeod County, MN",Southwest Minnesota nonmetropolitan area
"Meeker County, MN",Southwest Minnesota nonmetropolitan area
"Murray County, MN",Southwest Minnesota nonmetropolitan area
"Nobles County, MN",Southwest Minnesota nonmetropolitan area
"Pipestone County, MN",Southwest Minnesota nonmetropolitan area
"Redwood County, MN",Southwest Minnesota nonmetropolitan area
"Renville County, MN",Southwest Minnesota nonmetropolitan area
"Rock County, MN",Southwest Minnesota nonmetropolitan area
"Swift County, MN",Southwest Minnesota nonmetropolitan area
"Yellow Medicine County, MN",Southwest Minnesota nonmetropolitan area
"Brown County, MN",Southeast Minnesota nonmetropolitan area
"Faribault County, MN",Southeast Minnesota nonmetropolitan area
"Freeborn County, MN",Southeast Minnesota nonmetropolitan area
"Goodhue County, MN",Southeast Minnesota nonmetropolitan area
"Martin County, MN",Southeast Minnesota nonmetropolitan area
"Mower County, MN",Southeast Minnesota nonmetropolitan area
"Rice County, MN",Southeast Minnesota nonmetropolitan area
"Steele County, MN",Southeast Minnesota nonmetropolitan area
"Waseca County, MN",Southeast Minnesota nonmetropolitan area
"Watonwan County, MN",Southeast Minnesota nonmetropolitan area
"Winona County, MN",Southeast Minnesota nonmetropolitan area
